rating,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate,roast,aroma,body,flavor,month,year,region
93.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,May,2018,region_africa_arabia
93.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,May,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,May,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,May,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,May,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,8.0,9.0,9.0,May,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,May,2018,region_africa_arabia
94.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,May,2018,region_asia_pacific
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,May,2018,region_africa_arabia
89.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,8.0,April,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,April,2018,region_africa_arabia
90.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Dark,9.0,8.0,8.0,April,2018,region_africa_arabia
93.0,1,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,April,2018,region_africa_arabia
96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,10.0,April,2018,region_africa_arabia
95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_central_america
95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_central_america
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,April,2018,region_africa_arabia
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_central_america
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,9.0,9.0,April,2018,region_africa_arabia
94.0,0,0,0,1,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,April,2018,region_hawaii
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_africa_arabia
93.0,0,0,0,1,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,April,2018,region_hawaii
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,1,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_africa_arabia
93.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,April,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,1,Light,9.0,8.0,9.0,April,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_africa_arabia
94.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_asia_pacific
94.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_asia_pacific
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_africa_arabia
95.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,April,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,April,2018,region_africa_arabia
95.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium,9.0,9.0,9.0,April,2018,region_africa_arabia
94.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,April,2018,region_africa_arabia
93.0,0,0,0,0,0,1,1,1,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,April,2018,region_africa_arabia
92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,8.0,9.0,April,2018,region_africa_arabia
94.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,March,2018,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,March,2018,region_africa_arabia
91.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,March,2018,region_asia_pacific
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,March,2018,region_africa_arabia
92.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,March,2018,region_africa_arabia
96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,10.0,March,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,March,2018,region_central_america
90.0,0,0,0,0,0,0,0,0,0,0,0,0,1,Medium,8.0,9.0,8.0,March,2018,region_africa_arabia
91.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,8.0,March,2018,region_central_america
89.0,0,0,0,0,0,1,1,1,1,1,0,0,0,Medium-Light,8.0,8.0,8.0,March,2018,region_africa_arabia
94.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,March,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,March,2018,region_africa_arabia
92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium,9.0,8.0,9.0,March,2018,region_asia_pacific
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,March,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,March,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,8.0,9.0,9.0,March,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,March,2018,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Dark,9.0,8.0,9.0,March,2018,region_africa_arabia
94.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,March,2018,region_africa_arabia
94.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium,9.0,9.0,9.0,March,2018,region_asia_pacific
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,8.0,9.0,9.0,March,2018,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,March,2018,region_africa_arabia
92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,March,2018,region_asia_pacific
95.0,1,0,0,1,0,0,0,0,0,0,0,0,1,Medium,9.0,9.0,9.0,February,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,February,2018,region_africa_arabia
93.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,8.0,9.0,9.0,February,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,8.0,9.0,February,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,February,2018,region_africa_arabia
93.0,0,0,0,0,0,1,1,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,February,2018,region_africa_arabia
94.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Dark,9.0,9.0,9.0,February,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,8.0,9.0,February,2018,region_africa_arabia
92.0,0,0,0,0,1,0,1,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,February,2018,region_asia_pacific
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,8.0,9.0,February,2018,region_africa_arabia
93.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Light,9.0,8.0,9.0,February,2018,region_africa_arabia
92.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,8.0,9.0,9.0,February,2018,region_africa_arabia
92.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,February,2018,region_africa_arabia
92.0,0,0,0,0,0,0,0,1,0,0,0,1,0,Medium-Light,8.0,9.0,9.0,February,2018,region_africa_arabia
94.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,February,2018,region_africa_arabia
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,February,2018,region_africa_arabia
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,February,2018,region_africa_arabia
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Light,9.0,8.0,9.0,February,2018,region_africa_arabia
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,February,2018,region_africa_arabia
94.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,February,2018,region_central_america
93.0,0,0,0,0,0,1,0,1,1,0,0,0,0,Medium-Light,9.0,9.0,9.0,February,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,8.0,9.0,9.0,February,2018,region_africa_arabia
90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,8.0,8.0,8.0,February,2018,region_africa_arabia
90.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Light,8.0,8.0,8.0,February,2018,region_central_america
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2018,region_africa_arabia
93.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,7.0,January,2018,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2018,region_africa_arabia
90.0,0,0,0,1,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,8.0,January,2018,region_hawaii
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,January,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Light,8.0,8.0,9.0,January,2018,region_africa_arabia
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,January,2018,region_central_america
95.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,10.0,9.0,9.0,January,2018,region_central_america
92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,January,2018,region_asia_pacific
95.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Light,9.0,9.0,9.0,January,2018,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,January,2018,region_africa_arabia
91.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,January,2018,region_central_america
95.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Dark,9.0,9.0,9.0,January,2018,region_africa_arabia
94.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,January,2018,region_africa_arabia
93.0,0,0,0,1,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,January,2018,region_hawaii
93.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium,9.0,9.0,9.0,January,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,January,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,December,2017,region_africa_arabia
93.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium,8.0,9.0,9.0,December,2017,region_africa_arabia
91.0,0,0,0,0,1,0,1,0,0,0,0,0,0,Medium,8.0,8.0,9.0,December,2017,region_asia_pacific
96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,10.0,December,2017,region_asia_pacific
91.0,0,0,0,0,0,1,0,1,1,0,0,0,1,Light,9.0,8.0,9.0,December,2017,region_africa_arabia
95.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,December,2017,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Light,8.0,9.0,9.0,December,2017,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,8.0,9.0,December,2017,region_africa_arabia
96.0,1,0,0,0,0,0,0,0,0,0,0,0,1,Light,9.0,9.0,10.0,December,2017,region_africa_arabia
92.0,0,0,0,1,0,0,0,1,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,December,2017,region_hawaii
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,December,2017,region_central_america
94.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Light,9.0,8.0,9.0,December,2017,region_central_america
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,December,2017,region_africa_arabia
93.0,0,0,1,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,December,2017,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,December,2017,region_africa_arabia
92.0,0,0,1,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,8.0,8.0,December,2017,region_central_america
91.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,December,2017,region_africa_arabia
89.0,0,0,0,0,0,1,0,0,0,1,0,0,0,Medium,8.0,8.0,8.0,December,2017,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,December,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,December,2017,region_africa_arabia
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,December,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,December,2017,region_africa_arabia
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Light,9.0,8.0,9.0,December,2017,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,December,2017,region_africa_arabia
94.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,December,2017,region_africa_arabia
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,December,2017,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,December,2017,region_central_america
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,December,2017,region_africa_arabia
96.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,10.0,9.0,9.0,December,2017,region_central_america
95.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,December,2017,region_central_america
94.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,December,2017,region_central_america
96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
95.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,November,2017,region_central_america
95.0,0,0,0,1,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,November,2017,region_hawaii
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,10.0,November,2017,region_africa_arabia
93.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,November,2017,region_africa_arabia
95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,10.0,November,2017,region_central_america
87.0,0,0,0,0,0,1,0,0,0,1,0,0,0,Medium-Light,7.0,8.0,8.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
89.0,0,0,0,0,0,0,0,0,0,0,1,1,0,Dark,8.0,9.0,8.0,November,2017,region_africa_arabia
97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,Medium-Light,10.0,9.0,10.0,November,2017,region_hawaii
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Dark,9.0,8.0,9.0,November,2017,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
93.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,November,2017,region_africa_arabia
94.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Light,9.0,8.0,9.0,November,2017,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,November,2017,region_africa_arabia
89.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,8.0,November,2017,region_central_america
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,November,2017,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
91.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium,8.0,8.0,9.0,November,2017,region_africa_arabia
90.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium,8.0,8.0,8.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Light,8.0,8.0,9.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Light,9.0,8.0,9.0,November,2017,region_africa_arabia
92.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,November,2017,region_africa_arabia
92.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,November,2017,region_africa_arabia
92.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,November,2017,region_africa_arabia
94.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium,9.0,9.0,9.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Light,9.0,9.0,9.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,November,2017,region_africa_arabia
94.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium,9.0,9.0,9.0,November,2017,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,9.0,9.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
92.0,0,0,0,0,0,0,1,1,0,0,0,1,0,Medium-Light,9.0,8.0,8.0,November,2017,region_africa_arabia
90.0,1,0,0,0,0,0,0,0,0,1,0,0,0,Medium,8.0,7.0,9.0,November,2017,region_africa_arabia
90.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,8.0,8.0,9.0,November,2017,region_africa_arabia
89.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium,8.0,8.0,8.0,November,2017,region_africa_arabia
88.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,7.0,8.0,8.0,November,2017,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,November,2017,region_africa_arabia
92.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,November,2017,region_africa_arabia
91.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,8.0,9.0,8.0,November,2017,region_africa_arabia
91.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,November,2017,region_africa_arabia
95.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
95.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
94.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,November,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2017,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,8.0,October,2017,region_africa_arabia
90.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,October,2017,region_central_america
94.0,0,0,1,0,0,0,1,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,October,2017,region_central_america
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2017,region_africa_arabia
94.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,October,2017,region_central_america
92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2017,region_asia_pacific
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,October,2017,region_central_america
92.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,8.0,8.0,October,2017,region_africa_arabia
92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2017,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2017,region_africa_arabia
95.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,October,2017,region_africa_arabia
95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,October,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2017,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,October,2017,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2017,region_africa_arabia
92.0,0,0,1,0,0,0,0,1,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,October,2017,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2017,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,October,2017,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Light,8.0,9.0,9.0,October,2017,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium,9.0,9.0,9.0,October,2017,region_central_america
92.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Light,9.0,8.0,9.0,October,2017,region_central_america
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,October,2017,region_central_america
92.0,0,0,1,0,0,0,0,1,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,October,2017,region_central_america
94.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2017,region_central_america
94.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,October,2017,region_central_america
91.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium,8.0,8.0,8.0,October,2017,region_africa_arabia
93.0,1,0,1,0,0,0,0,0,0,0,0,0,0,Light,9.0,8.0,9.0,October,2017,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2017,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,September,2017,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2017,region_africa_arabia
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,September,2017,region_central_america
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,9.0,9.0,September,2017,region_central_america
94.0,1,0,0,0,0,0,0,1,1,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2017,region_africa_arabia
93.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,September,2017,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,9.0,9.0,September,2017,region_africa_arabia
94.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,September,2017,region_africa_arabia
93.0,0,0,1,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,September,2017,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,September,2017,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium,9.0,9.0,9.0,September,2017,region_central_america
92.0,1,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,September,2017,region_africa_arabia
